60.48	64.8	60.48	69.12	41.04013723	44.72162728	52.88438838	48.83137128	89.84005113	104.3009772	122.5207591	135.4020065
74.58	72.32	74.58	79.1	69.59222138	61.07268262	70.01645702	76.41865619	98.81930973	101.440614	127.903771	137.0904613
70.7	68.68	78.78	72.72	39.73709453	41.72820496	74.11292901	79.12731345	72.33384619	88.01912748	88.82201345	88.79680394
48.48	56.56	42.42	46.46	55.80596825	42.46406485	45.51888648	39.18911518	86.90596883	78.31529232	105.3399077	99.90216325
50.96	50.96	64.68	60.76	55.83540652	61.53182654	82.25740182	82.1938028	105.365627	92.50078377	96.63591437	98.519179
65.1	63			65.37610914	56.25101666			73.46494541	96.09880726		
61.32	70.08	65.7	56.94	88.14549319	89.97098201	63.11496918	158.1764666	119.0969449	140.2804696	134.1376243	135.211315
60.32	66.56	68.64		39.89495637	48.70197955	67.23166667		90.82521574	101.4450908	118.2417767	
43	68.8	64.5	60.2	30.34602058	32.32202653	75.4731016	101.2660763	67.55611383	65.34355922	100.3563132	106.9027492
	72	82	82		57.85318919	59.00417038	62.35326693		130.3655377	132.3938619	131.4633781
43.93	53.48			42.41668438	41.20037663			86.6396414	82.92475979		
73.44	79.92	82.08	71.28	55.67081178	56.53871726	79.52710505	78.20815614	80.49053471	74.06415941	101.3523172	93.76656589
54.87	69.03	74.34	69.03	37.74512334	36.03721025	42.44607699	53.3883661	60.94071175	71.63312264	82.44369828	88.64741615
43.7	53.2	45.6	41.8	43.60603806	54.58044723	76.94116204	57.37131311	78.00841687	81.39676801	71.15602023	71.78228653
123.2		140.8	145.2	70.96961276		94.34313571	89.20135249	131.9395305		158.360247	142.5543934
93.6	104	83.2	79.04	66.16826337	79.80865372	93.3929446	114.2286172	130.5672242	145.3047676	140.8825902	145.3217355
