1 	0.32	4.7	32.5766	5.64989	0.106432	0.0681088	
2  	0.48	5.9	32.09	6.74254	0.13839	0.109293	
3  	0.41	8.6	19.3974	3.63503	0.17315	0.0656542	
4  	0.42	8.6	19.8769	3.73364	0.177311	0.0684398	
5	0.13	0.1	51.7467	11.3581	0.0340779	0.0308319	
6	0.27	4.5	51.3775	10.5574	0.0332895	0.0300731	
7	0.29	5.4	112.368	17.7171	0.0611679	0.0507568	
8	0.24	6.1	111.806	16.8776	0.0741011	0.0601232	
13	0.18	1.1	59.9946	20.3343	0.0437346	0.0421461	
14	0.28	4.9	62.8992	21.4997	0.0425428	0.0620471	
15	0.02	1.6	121.847	26.8458	0.1629	0.125344	
16	0	1	126.871	29.6187	0.145517	0.0958325	


0.16	5	0.00226206	0.00101493	0.000297053	0.000121507	
0.44	5.1	0.00222308	0.00091764	0.000398706	0.000214113	
0.36	0	0.00303372	0.00117638	0.000254515	0.000120314	
0.34	0	0.00291126	0.00110699	0.000271032	0.00011403	
0.24	0.6	0.00120329	0.000395437	0.000126739	3.56823e-05	
0.23	1.3	0.00117869	0.000382943	0.000137639	5.06344e-05	
0.31	2.6	0.00317924	0.000935631	0.000297044	7.37411e-05	
0.21	2	0.00315261	0.000805354	0.000312366	6.84203e-05	
0.15	0.8	0.00144889	0.000762309	0.000220644	0.000130252	
0.14	1.3	0.0014444	0.000818441	0.000205213	8.40686e-05	
0.5	4.5	0.00393598	0.00136798	0.000683189	0.00033416	
0.56	4.3	0.00464179	0.00157991	0.000706371	0.00032876	


0.16	5	0.0081603	0.00146796	0.000536454	0.00021176	
0.44	5.1	0.00821202	0.00148918	0.00067102	0.00030179	
0.36	0	0.0122535	0.00158508	0.000503913	0.000192476	
0.34	0	0.0118728	0.00156954	0.000538228	0.000170011	
0.24	0.6	0.00477554	0.000394419	0.000260846	6.79841e-05	
0.23	1.3	0.00473612	0.000414565	0.00028616	9.21295e-05	
0.31	2.6	0.00527417	0.000544386	0.000249885	3.05363e-05	
0.21	2	0.00527603	0.000493807	0.000266378	4.94861e-05	
0.15	0.8	0.00476906	0.000689815	0.000364712	7.99198e-05	
0.14	1.3	0.00461076	0.000686703	0.00035464	8.32861e-05	
0.5	4.5	0.00559915	0.000606336	0.000488094	0.000180009	
0.56	4.3	0.00596586	0.000609619	0.000461202	0.000178121	


0.28	5.7	63.3788	6.12488	5.52489	4.23576	
0.1	3	67.7944	7.81509	5.38364	3.97382	
0.24	2.5	60.291	6.28065	3.99616	2.12861	
0.08	6.7	60.4238	9.66476	5.98416	3.07373	
0.21	6.6	125.024	9.29109	7.69444	2.82035	
0.18	6.9	124.346	9.40613	7.69854	2.84255	
0.36	6.3	138.73	9.5527	3.87368	0.865944	
0.3	5.9	138.482	9.01565	3.89757	1.66151	
0.08	9.6	86.3406	13.7484	7.21221	8.83214	
0.22	4.4	87.4347	12.3444	8.20354	8.3443	
0.17	6.9	94.6212	8.73029	4.51837	5.72646	
0.5	6.2	96.2794	8.44532	3.64737	4.71678	
0.1	6.2	0.0134698	0.00141546	0.00453083	0.00600522	
0.27	2	0.0130112	0.00121072	0.00153504	0.00278965	
0.13	3.4	0.0487059	0.0388367	0.1617	0.0909603	
0.32	1.7	0.0159141	0.00175707	0.00233154	0.0009578	
0.14	3.9	0.0141325	0.00149929	0.00570761	0.0147317	
0.17	6.1	0.0131947	0.00168822	0.00160372	0.00155396	
0.19	4.6	0.0558376	0.0379198	0.150656	0.0826123	
0.51	1.3	0.0164374	0.00239461	0.00292155	0.00148556	
0.31	2.2	0.0316088	0.00600301	0.00530954	0.00238335	
0.18	1.8	0.0931635	0.0353988	0.0589302	0.0590041	
0.26	1.5	0.0322734	0.00884854	0.00873892	0.00866048	
0.21	8.7	0.0542075	0.0973351	0.0654662	0.078126	
0.34	2	-2.97635e-15	2.34756e-14	2.30569	2.7218	
0.12	8.5	-1.80023e-14	6.11375e-14	2.10875	1.09953	
0.18	0.3	2.91683e-15	1.77459e-14	1.41904	1.6678	
0.21	8.9	-1.28393e-15	3.76841e-14	2.4834	1.6486	
0.43	2.2	-1.58695e-15	1.04631e-14	1.41326	1.74633	
0.24	1.6	-3.5939e-15	2.71807e-14	1.63654	1.90741	
0.17	0	-9.39978e-16	1.15928e-14	4.04752	2.95437	
0.26	0.3	-5.99625e-15	5.87878e-14	6.67482	5.51909	
0.19	1.5	-7.72567e-15	4.8861e-14	7.85662	5.74843	
0.57	2.2	-2.05509e-14	1.46654e-13	29.5895	12.3667	
